id,Poster_Link,Series_Title,tag
0,"https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",The Shawshank Redemption,dramatwo imprisoned men bond number year finding solace eventual redemption act common decencyfrank darabonttim robbinsmorgan freemanbob guntonwilliam sadler
1,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather,crime dramaan organized crime dynasty aging patriarch transfer control clandestine empire reluctant sonfrancis ford coppolamarlon brandoal pacinojames caandiane keaton
2,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",The Dark Knight,action crime dramawhen menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injusticechristopher nolanchristian baleheath ledgeraaron eckhartmichael caine
3,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR1,0,67,98_AL_.jpg",The Godfather: Part II,crime dramathe early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicatefrancis ford coppolaal pacinorobert de nirorobert duvalldiane keaton
4,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_UX67_CR0,0,67,98_AL_.jpg",12 Angry Men,crime dramaa jury holdout attempt prevent miscarriage justice forcing colleague reconsider evidencesidney lumethenry fondalee j cobbmartin balsamjohn fiedler
5,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Return of the King,action adventure dramagandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ringpeter jacksonelijah woodviggo mortensenian mckellenorlando bloom
6,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UY98_CR0,0,67,98_AL_.jpg",Pulp Fiction,crime dramathe life two mob hitman boxer gangster wife pair diner bandit intertwine four tale violence redemptionquentin tarantinojohn travoltauma thurmansamuel l jacksonbruce willis
7,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Schindler's List,biography drama historyin germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazissteven spielbergliam neesonralph fiennesben kingsleycaroline goodall
8,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_UX67_CR0,0,67,98_AL_.jpg",Inception,action adventure scifia thief steal corporate secret use dreamsharing technology given inverse task planting idea mind ceochristopher nolanleonardo dicapriojoseph gordonlevittelliot pageken watanabe
9,"https://m.media-amazon.com/images/M/MV5BMmEzNTkxYjQtZTc0MC00YTVjLTg5ZTEtZWMwOWVlYzY0NWIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Fight Club,dramaan insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much moredavid fincherbrad pittedward nortonmeat loafzach grenier
10,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Fellowship of the Ring,action adventure dramaa meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauronpeter jacksonelijah woodian mckellenorlando bloomsean bean
11,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UY98_CR0,0,67,98_AL_.jpg",Forrest Gump,drama romancethe presidency kennedy johnson event vietnam watergate historical event unfold perspective alabama man iq whose desire reunited childhood sweetheartrobert zemeckistom hanksrobin wrightgary sinisesally field
12,"https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_UX67_CR0,0,67,98_AL_.jpg","Il buono, il brutto, il cattivo",westerna bounty hunting scam join two men uneasy alliance third race find fortune gold buried remote cemeterysergio leoneclint eastwoodeli wallachlee van cleefaldo giuffrè
13,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Lord of the Rings: The Two Towers,action adventure dramawhile frodo sam edge closer mordor help shifty gollum divided fellowship make stand saurons new ally saruman horde isengardpeter jacksonelijah woodian mckellenviggo mortensenorlando bloom
14,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",The Matrix,action scifiwhen beautiful stranger lead computer hacker neo forbidding underworld discovers shocking truththe life know elaborate deception evil cyberintelligencelana wachowskililly wachowskikeanu reeveslaurence fishburnecarrieanne moss
15,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Goodfellas,biography crime dramathe story henry hill life mob covering relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicatemartin scorseserobert de niroray liottajoe pescilorraine bracco
16,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Star Wars: Episode V - The Empire Strikes Back,action adventure fantasyafter rebel brutally overpowered empire ice planet hoth luke skywalker begin jedi training yoda friend pursued darth vader bounty hunter named boba fett galaxyirvin kershnermark hamillharrison fordcarrie fisherbilly dee williams
17,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",One Flew Over the Cuckoo's Nest,dramaa criminal pleads insanity admitted mental institution rebel oppressive nurse rally scared patientsmilos formanjack nicholsonlouise fletchermichael berrymanpeter brocco
18,"https://m.media-amazon.com/images/M/MV5BNjViNWRjYWEtZTI0NC00N2E3LTk0NGQtMjY4NTM3OGNkZjY0XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UX67_CR0,0,67,98_AL_.jpg",Hamilton,biography drama historythe real life one america foremost founding father first secretary treasury alexander hamilton captured live broadway richard rodgers theater original broadway castthomas kaillinmanuel mirandaphillipa sooleslie odom jrrenée elise goldsberry
19,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Gisaengchung,comedy drama thrillergreed class discrimination threaten newly formed symbiotic relationship wealthy park family destitute kim clanbong joon hokangho songlee sunkyuncho yeojeongchoi woosik
20,"https://m.media-amazon.com/images/M/MV5BOTc2ZTlmYmItMDBhYS00YmMzLWI4ZjAtMTI5YTBjOTFiMGEwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",Soorarai Pottru,dramanedumaaran rajangam maara set make common man fly process take world capital intensive industry several enemy stand waysudha kongarasuriyamadhavanparesh rawalaparna balamurali
21,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",Interstellar,adventure drama scifia team explorer travel wormhole space attempt ensure humanity survivalchristopher nolanmatthew mcconaugheyanne hathawayjessica chastainmackenzie foy
22,"https://m.media-amazon.com/images/M/MV5BOTMwYjc5ZmItYTFjZC00ZGQ3LTlkNTMtMjZiNTZlMWQzNzI5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",Cidade de Deus,crime dramain slum rio two kid path diverge one struggle become photographer kingpinfernando meirelleskátia lundalexandre rodriguesleandro firminomatheus nachtergaele
23,"https://m.media-amazon.com/images/M/MV5BMjlmZmI5MDctNDE2YS00YWE0LWE5ZWItZDBhYWQ0NTcxNWRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",Sen to Chihiro no kamikakushi,animation adventure familyduring family move suburb sullen yearold girl wanders world ruled god witch spirit human changed beastshayao miyazakidaveigh chasesuzanne pleshettemiyu irinorumi hiiragi
24,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_UX67_CR0,0,67,98_AL_.jpg",Saving Private Ryan,drama warfollowing normandy landing group u soldier go behind enemy line retrieve paratrooper whose brother killed actionsteven spielbergtom hanksmatt damontom sizemoreedward burn
25,"https://m.media-amazon.com/images/M/MV5BMTUxMzQyNjA5MF5BMl5BanBnXkFtZTYwOTU2NTY3._V1_UX67_CR0,0,67,98_AL_.jpg",The Green Mile,crime drama fantasythe life guard death row affected one charge black man accused child murder rape yet mysterious giftfrank darabonttom hanksmichael clarke duncandavid morsebonnie hunt
26,"https://m.media-amazon.com/images/M/MV5BYmJmM2Q4NmMtYThmNC00ZjRlLWEyZmItZTIwOTBlZDQ3NTQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",La vita è bella,comedy drama romancewhen openminded jewish librarian son become victim holocaust us perfect mixture humor imagination protect son danger around camproberto benigniroberto benigninicoletta braschigiorgio cantarinigiustino durano
27,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX67_CR0,0,67,98_AL_.jpg",Se7en,crime drama mysterytwo detective rookie veteran hunt serial killer us seven deadly sin motivesdavid finchermorgan freemanbrad pittkevin spaceyandrew kevin walker
